R17,366227.74739999999,8710952.9442999996,3508.3157000000001,PP
1,366232.57829999999,8710980.8991999999,3508.6107999999999,L
2,366232.5687,8710979.0821000002,3508.6680000000001,L
3,366232.40629999997,8710977.0599000007,3508.6655000000001,L
4,366232.41800000001,8710976.3112000003,3508.6550999999999,L
5,366231.80900000001,8710972.6746999994,3508.6026000000002,L
6,366232.00780000002,8710972.4967999998,3508.6451999999999,L
7,366232.37400000001,8710972.2090000007,3508.7239,L
8,366231.62599999999,8710968.6849000007,3508.6361000000002,L
9,366231.99780000001,8710967.6412000004,3508.6329000000001,L
10,366232.39429999999,8710967.0133999996,3508.5637999999999,L
11,366232.42330000002,8710966.3348999992,3508.4591999999998,L
12,366231.17469999997,8710962.4026999995,3508.3921,L
13,366231.29729999998,8710962.1932999995,3508.2157000000002,L
14,366230.83260000002,8710958.9441,3508.2474000000002,L
15,366231.0098,8710957.5387999993,3508.1657,L
16,366230.9216,8710957.2773000002,3508.1395000000002,L
17,366232.1102,8710979.5423000008,3509.3806,L2
18,366232.45270000002,8710979.0410999991,3509.5983999999999,L2
19,366232.34370000003,8710976.3384000007,3509.7046999999998,L2
20,366232.13890000002,8710973.3869000003,3509.6815000000001,L2
21,366232.17509999999,8710972.1767999995,3509.7372999999998,L2
22,366232.12920000002,8710971.6315000001,3509.8245000000002,L2
23,366231.80339999998,8710968.1329999994,3509.6986000000002,L2
24,366232.09820000001,8710967.0612000003,3509.9328999999998,L2
25,366231.99589999998,8710966.5907000005,3510.0747999999999,L2
26,366232.23560000001,8710966.2385000009,3510.1288,L2
27,366230.99780000001,8710962.0205000006,3509.6087000000002,L2
28,366230.1826,8710959.2589999996,3509.8168000000001,L2
29,366229.97210000001,8710957.5554000009,3510.2004000000002,L2
30,366229.68030000001,8710956.4198000003,3510.3254999999999,L2
31,366231.25160000002,8710982.6906000003,3510.6927000000001,L3
32,366231.21980000002,8710979.1120999996,3510.7292000000002,L3
33,366230.81959999999,8710975.9920000006,3510.6017000000002,L3
34,366230.49719999998,8710971.2965999991,3510.5207999999998,L3
35,366230.45380000002,8710970.9975000005,3510.6895,L3
36,366230.15110000002,8710967.2083000001,3510.3033999999998,L3
37,366230.29249999998,8710966.4627,3510.509,L3
38,366230.32799999998,8710965.1359999999,3510.9034000000001,L3
39,366230.4215,8710964.4657000005,3511.1941999999999,L3
40,366229.6115,8710961.6883000005,3510.8834000000002,L3
41,366229.2536,8710960.1897999998,3511.0075999999999,L3
42,366229.07870000001,8710958.3816999998,3511.0587,L3
43,366229.10029999999,8710956.5950000007,3510.7963,L3
44,366228.9767,8710955.3392999992,3510.5266999999999,L3
45,366229.47519999999,8710954.1859000009,3510.3458000000001,L3
46,366230.41509999998,8710986.6451999992,3510.6968000000002,T
47,366229.85869999998,8710980.5083000008,3510.4490999999998,T
48,366229.57709999999,8710976.8200000003,3510.3317000000002,T
49,366229.44799999997,8710975.1212000009,3510.5473000000002,T
50,366229.42670000001,8710974.8457999993,3510.6788999999999,T
51,366229.12839999999,8710970.9455999993,3510.5102999999999,T
52,366229.01980000001,8710968.4071999993,3510.5120999999999,T
53,366228.8824,8710966.7128999997,3510.6154000000001,T
54,366228.78139999998,8710965.2467999998,3510.9425000000001,T
55,366228.72480000003,8710963.7910999991,3511.3038000000001,T
56,366228.62689999997,8710962.2977000009,3511.5861,T
57,366228.4804,8710959.5567000005,3511.1947,T
58,366228.40720000002,8710957.9485999998,3510.9985999999999,T
59,366228.34350000002,8710956.4915999994,3510.7239,T
60,366228.1298,8710955.0153999999,3510.4949000000001,T
61,366232.57829999999,8710980.8991999999,3488.6107999999999,L,,,
62,366232.5687,8710979.0821000002,3488.6680000000001,L,,,
63,366232.40629999997,8710977.0599000007,3488.6655000000001,L,,,
64,366232.41800000001,8710976.3112000003,3488.6550999999999,L,,,
65,366231.80900000001,8710972.6746999994,3488.6026000000002,L,,,
66,366232.00780000002,8710972.4967999998,3488.6451999999999,L,,,
67,366232.37400000001,8710972.2090000007,3488.7239,L,,,
68,366231.62599999999,8710968.6849000007,3488.6361000000002,L,,,
69,366231.99780000001,8710967.6412000004,3488.6329000000001,L,,,
70,366232.39429999999,8710967.0133999996,3488.5637999999999,L,,,
71,366232.42330000002,8710966.3348999992,3488.4591999999998,L,,,
72,366231.17469999997,8710962.4026999995,3488.3921,L,,,
73,366231.29729999998,8710962.1932999995,3488.2157000000002,L,,,
74,366230.83260000002,8710958.9441,3488.2474000000002,L,,,
75,366231.0098,8710957.5387999993,3488.1657,L,,,
76,366230.9216,8710957.2773000002,3488.1395000000002,L,,,
